,City,Country,Lat,Lng,Temp_F,TempMax_F,TempMin_F,Humidity,Cloudiness,Windspeed
0,Butaritari,KI,3.0707,172.7902,81.82,81.82,81.82,79,100,18.03
1,Rikitea,PF,-23.1203,-134.9692,77.81,77.81,77.81,67,12,9.48
2,Kapaa,US,22.0752,-159.319,63.61,64.4,63.0,77,40,5.75
3,North Bend,US,43.4065,-124.2243,41.77,42.8,39.99,87,90,5.14
4,Mar del Plata,AR,-38.0023,-57.5575,60.03,62.01,57.99,72,75,11.5
5,Thompson,CA,55.7435,-97.8558,-25.6,-25.6,-25.6,68,90,14.97
6,São Filipe,CV,14.8961,-24.4956,69.12,69.12,69.12,75,100,10.69
7,Manoharpur,IN,27.3,75.95,75.2,75.2,75.2,25,0,5.75
8,Burnie,AU,-41.0667,145.9167,65.7,65.7,65.7,52,29,9.98
9,Aksu,CN,41.1231,80.2644,45.61,45.61,45.61,46,100,2.13
10,Lebu,CL,-37.6167,-73.65,57.02,57.02,57.02,95,17,2.3
11,São José da Coroa Grande,BR,-8.8978,-35.1478,77.04,77.04,77.04,84,75,8.21
12,Vila Franca do Campo,PT,37.7167,-25.4333,57.96,59.0,57.0,82,75,23.02
13,Ponta do Sol,PT,32.6667,-17.1,52.99,59.0,46.0,78,27,5.99
14,Port Alfred,ZA,-33.5906,26.891,73.0,73.0,73.0,72,91,5.99
15,Chokurdakh,RU,70.6333,147.9167,-11.74,-11.74,-11.74,88,1,7.76
16,Jamestown,US,42.097,-79.2353,10.67,10.99,10.4,85,90,3.44
17,Antofagasta,CL,-23.65,-70.4,64.4,64.4,64.4,82,0,3.44
18,Sola,VU,-13.8833,167.55,82.63,82.63,82.63,64,5,5.44
19,Naze,JP,28.3667,129.4833,64.4,64.4,64.4,63,75,17.27
20,Yellowknife,CA,62.456,-114.3525,-36.13,-36.0,-36.4,67,20,11.5
21,Saint Anthony,US,45.0205,-93.218,-2.67,-2.2,-4.0,71,90,8.05
22,Taoudenni,ML,22.6783,-3.9836,54.68,54.68,54.68,40,0,7.83
23,Nanortalik,GL,60.1432,-45.2371,30.63,30.63,30.63,88,100,16.51
24,Carnarvon,AU,-24.8667,113.6333,86.0,86.0,86.0,100,0,13.8
25,Nikolskoye,RU,59.7035,30.7861,4.19,9.0,-0.4,85,20,4.47
26,‘Āhuimanu,US,21.4447,-157.8378,69.57,71.6,66.0,68,20,3.44
27,Mariental,NA,-24.6333,17.9667,79.66,79.66,79.66,42,0,5.19
28,Ballina,AU,-28.8667,153.5667,76.89,78.8,73.99,57,75,16.11
29,Mineiros,BR,-17.5694,-52.5511,66.29,66.29,66.29,81,65,2.1
30,Punta Arenas,CL,-53.15,-70.9167,55.2,55.4,55.0,54,75,2.3
31,Castro,BR,-24.7911,-50.0119,51.13,51.13,51.13,95,2,4.85
32,Khatanga,RU,71.9667,102.5,-23.84,-23.84,-23.84,81,41,14.03
33,Atuona,PF,-9.8,-139.0333,79.92,79.92,79.92,75,3,21.25
34,Arraial do Cabo,BR,-22.9661,-42.0278,71.49,71.49,71.49,77,100,5.21
35,Saint-Augustin,CA,51.226,-58.6502,11.71,11.71,11.71,93,100,5.64
36,Hobart,AU,-42.8794,147.3294,62.42,63.0,61.0,42,40,21.85
37,Cairo,EG,30.0626,31.2497,64.2,64.4,64.0,52,95,6.02
38,Saint-Philippe,RE,-21.3585,55.7679,82.98,89.6,73.0,48,0,9.22
39,Tautira,PF,-17.7333,-149.15,81.21,82.4,80.01,69,20,4.61
40,Egvekinot,RU,66.3167,-179.1667,-13.61,-13.61,-13.61,86,100,17.45
41,Albany,US,42.6001,-73.9662,15.48,16.0,15.01,51,14,8.63
42,Busselton,AU,-33.65,115.3333,68.23,69.01,66.99,82,74,5.01
43,Chui,UY,-33.6971,-53.4616,62.67,62.67,62.67,90,4,4.43
44,Kagay,PH,6.0088,120.9074,83.37,83.37,83.37,76,96,7.25
45,Saint George,US,37.1041,-113.5841,42.33,42.8,42.01,33,1,5.75
46,George Town,MY,5.4112,100.3354,89.85,91.0,89.01,62,20,10.36
