,City,Lat,Lng,Temp_F,Humidity,Cloudiness,Windspeed
0,Tétange,49.4758,6.0422,42.64,93,100,4.0
1,Pansoy,13.1825,122.5989,80.96,77,60,7.94
2,Saraipali,21.3333,83.0,85.46,16,0,1.36
3,Manosque,43.8288,5.7869,52.97,80,100,7.0
4,Mulgund,15.25,75.5333,80.6,29,0,6.91
5,Morondava,-20.2833,44.2833,84.52,75,100,4.43
6,San Pelayo,8.9583,-75.8363,76.62,93,100,4.56
7,Kontagora,10.3999,5.4695,73.96,21,100,9.17
8,Kirando,-7.4167,30.6,74.12,79,78,3.4
9,Taktaszada,48.1167,21.1833,34.07,86,90,10.36
10,Cadillac,44.2519,-85.4012,10.4,79,90,9.22
11,Jucuapa,13.5167,-88.3833,67.59,73,89,1.52
12,Thornton,39.868,-104.9719,33.42,44,90,11.5
13,Apatou,5.155,-54.3472,71.53,97,100,1.59
14,Oxelösund,58.6706,17.1015,12.2,92,75,4.61
15,Joane,41.4391,-8.4085,47.16,81,20,13.8
16,Malinao,7.5917,124.6889,81.93,59,100,7.14
17,Püssi,59.36,27.0497,13.44,94,100,13.27
18,Rongotea,-40.3,175.4167,64.44,65,100,8.01
19,Waltershausen,50.9,10.5667,33.01,83,100,11.39
20,Xingyi,24.1877,102.817,68.97,36,6,13.42
21,Psygansu,43.4194,43.7936,33.4,86,75,2.24
22,Ibarra,0.35,-78.1167,57.2,88,75,2.3
23,Sobradinho,-12.8333,-39.1,71.28,96,100,2.46
24,Tenamaxtlán,20.2167,-104.1667,57.0,55,4,5.01
25,Nikolo-Pavlovskoye,57.7831,60.0578,35.38,97,100,5.84
26,Vlagtwedde,53.0275,7.1083,32.63,94,100,10.0
27,Lingion,8.1881,124.6097,82.99,80,100,13.0
28,San Pedro de Urabá,8.2752,-76.3764,73.63,96,100,4.23
29,Karanpura,29.1018,75.092,68.83,33,0,3.29
30,Alsónémedi,47.3152,19.1584,39.72,93,90,8.05
31,Nagaoka,37.45,138.85,51.01,62,3,8.88
32,Aravissós,40.84,22.2956,51.01,95,75,0.67
33,Petrovskiy,56.6421,40.3203,1.0,91,98,11.07
34,Busto Garolfo,45.5477,8.8856,46.27,100,90,1.14
35,Kozan,37.4552,35.8157,51.21,93,0,3.67
36,Garelochhead,56.082,-4.8291,38.26,93,90,17.27
37,Hātā,26.7461,83.7403,75.13,40,0,12.1
38,Olaya,6.6276,-75.8127,55.72,100,75,2.3
39,Orbe,46.725,6.5307,39.27,100,20,2.44
40,Uelzen,52.9667,10.5667,28.2,86,75,11.5
