,City,Lat,Lng,Temp_F,Humidity,Cloudiness,Windspeed
0,Departamento de Canelones,-34.6444,-56.2886,69.58,78,0,12.66
1,Fīrozpur Jhirka,27.8,76.95,66.13,31,0,4.29
2,San Giovanni in Persiceto,44.64,11.1841,46.62,100,40,2.3
3,Trebur,49.9311,8.4161,25.74,80,75,12.66
4,Tyukhtet,56.5389,89.3011,19.6,94,30,10.16
5,Shevchenko,48.5,35.0,12.2,85,90,11.18
6,Hjelset,62.7833,7.4833,15.8,62,40,9.22
7,Vradiyivka,47.862,30.5919,20.16,97,100,14.88
8,Slavgorod,52.9978,78.6449,20.97,98,100,14.2
9,Ciucsângeorgiu,46.3167,25.95,30.0,71,38,2.3
10,Olbia,40.9214,9.4856,48.2,81,0,14.97
11,Serrana,-21.2114,-47.5956,69.8,83,0,6.91
12,Gadsden,34.0143,-86.0066,30.34,93,1,4.38
13,Karratha,-20.7377,116.8463,85.64,51,0,8.79
14,Caaguazú,-25.45,-56.0167,64.74,86,0,3.15
15,Saryozek,44.3583,77.9753,41.23,66,100,5.93
16,Kearney,40.6995,-99.0815,2.14,85,90,9.22
17,Mapulot,14.0339,122.5408,83.14,67,98,12.8
18,Chirnogeni,43.9,28.2333,44.96,98,97,1.01
19,Kaimganj,27.5667,79.35,62.62,48,0,5.46
20,Kavkazskaya,45.445,40.6728,25.2,98,100,11.68
21,Caibiran,11.5717,124.5822,76.48,81,100,9.28
22,Culianan,6.9803,122.1467,87.8,66,75,9.22
23,Ongandjera,-17.8833,15.0667,71.46,29,74,9.1
24,Jiménez,28.3333,-105.4,51.8,25,20,4.61
25,Foxton,-40.4667,175.3,73.99,61,14,5.99
26,Łomża,53.1781,22.0593,9.0,53,100,11.99
27,Goianésia,-15.3175,-49.1175,67.64,96,97,3.85
28,Doliana,39.9032,20.5794,57.2,44,92,9.22
29,Călăraşi,47.2544,28.3081,24.8,100,90,12.66
30,Sagua la Grande,22.8067,-80.0756,69.8,100,1,1.14
31,Zedelgem,51.1262,3.1372,25.21,92,99,10.0
32,Văculeşti,47.8833,26.4167,22.66,93,90,14.97
33,Bystřice,49.6366,18.7204,19.47,93,90,11.5
34,Lawang Kupang,15.3489,120.8582,86.0,58,75,4.61
35,Winburg,-28.518,27.0093,61.86,87,2,5.03
36,Kvarkeno,52.0833,59.725,-11.85,86,19,15.37
37,Roboré,-18.3333,-59.75,67.12,54,18,0.76
38,Marchin,50.4671,5.2428,27.5,93,75,12.66
39,Lőkösháza,46.4333,21.2333,46.13,76,0,8.05
40,Blackburn,53.75,-2.4833,30.92,77,89,4.0
41,Batamshinskiy,50.5594,58.2747,-5.8,65,40,20.13
42,Tepepa,20.1333,-98.1833,51.49,71,26,4.59
43,Chacaltianguis,18.3333,-95.8333,67.41,90,22,2.62
44,Maradi,13.5,7.1017,62.15,25,52,9.26
45,Würselen,50.8167,6.1333,25.18,93,90,12.66
46,Tall Kayf,37.0833,41.0667,44.6,70,0,13.8
47,Tanza,14.6753,120.9389,87.1,55,40,13.8
48,Însurăţei,44.9167,27.6,46.0,97,96,4.63
49,Nagīna,29.45,78.45,61.3,51,0,0.65
50,Aksu,41.1231,80.2644,38.55,60,15,2.06
51,Sevastopol,44.6,33.5333,43.0,82,99,1.01
52,Rivière-du-Loup,47.8304,-69.5342,20.84,93,100,2.3
53,Hăghig,45.8333,25.5833,35.01,82,46,3.0
54,Zavodskoy,43.4597,132.2922,12.2,37,2,11.18
55,Ukmerge,55.25,24.75,0.48,71,0,4.61
56,Cireşu,44.95,27.35,45.07,98,98,1.77
57,Upi,7.0258,124.1667,81.03,70,100,1.74
58,Almirante Tamandaré,-25.3247,-49.31,58.8,10,1,1.99
59,Bedford,52.1346,-0.4663,28.71,86,97,3.0
60,Rubiera,44.6541,10.7787,43.52,97,16,4.38
61,Jerez,14.1,-89.75,65.57,84,0,3.04
62,La Cañada,20.6167,-100.3167,60.8,41,1,3.44
63,Sanjwal,33.7608,72.4336,57.0,64,100,2.42
64,Réo,12.3167,-2.4667,71.26,23,17,8.93
65,Mahtomedi,45.0697,-92.9516,-2.9,59,90,4.61
66,Paraćin,43.8608,21.4078,36.0,87,0,4.61
67,Dzhubga,44.3211,38.7039,48.78,90,99,7.29
68,Chunan,24.5277,110.548,62.76,64,98,5.41
69,Staryye Atagi,43.1203,45.7406,26.6,93,90,5.48
70,Colina,-20.7133,-48.5408,64.69,88,0,8.3
71,Khromtau,50.2503,58.4347,-11.7,90,100,19.95
72,Kistarcsa,47.5476,19.2625,38.71,93,90,5.75
73,Dicamay,16.7561,122.0037,82.69,67,37,3.36
74,Krylovskaya,46.3194,39.9711,24.08,97,100,11.3
75,Rundu,-17.9333,19.7667,68.07,92,100,8.19
76,Bregovo,44.1517,22.6425,31.89,8,96,2.71
77,West Hartford,41.762,-72.742,24.06,79,57,3.0
78,Avinurme,58.9822,26.8642,11.25,96,91,3.51
79,Stoicăneşti,44.1833,24.6333,37.67,100,90,6.91
80,Saint-Rémi,45.2668,-73.6159,17.87,79,69,8.05
81,Broadford,-37.2,145.0667,63.0,74,85,11.99
82,Ichinoseki,38.9167,141.1333,26.6,80,75,9.22
83,Cuartero,11.3407,122.6694,75.49,93,100,6.89
84,Agrate Brianza,45.5778,9.3515,41.56,87,40,9.22
85,Hosangadi,13.7,74.95,85.37,27,90,10.33
86,Demir Kapija,41.405,22.2489,50.0,10,55,10.38
87,Ostrov,57.3439,28.3537,14.0,92,90,4.47
88,Inobulan,8.8864,124.7947,79.0,89,100,4.0
89,Balatonszabadi,46.894,18.1374,47.48,88,100,7.63
90,Chhaprauli,29.2167,77.1833,62.19,45,0,5.3
91,New Brunswick,46.5001,-65.9988,20.46,98,100,8.03
92,Otoka,44.96,16.1792,49.5,77,100,3.42
93,Sabro,56.2133,10.0344,25.16,80,75,19.57
94,Bradu,44.7833,24.9,44.01,78,99,3.38
95,San Vicente,-26.6167,-54.1333,61.39,85,0,3.15
96,Yessentuki,44.0444,42.8606,27.3,93,90,13.42
97,Romano di Lombardia,45.5246,9.7484,43.21,100,75,5.75
98,Gladstone,-23.85,151.25,84.2,79,75,12.66
99,Pospelikha,51.95,81.7667,31.8,96,99,17.31
100,Burabod,13.2686,123.4162,76.59,89,100,4.25
101,Gisborne,-38.6533,178.0042,75.99,61,0,4.0
102,Raghunathpur,23.55,86.6667,69.8,64,0,11.5
103,Årnes,60.1211,11.4663,17.6,62,0,9.22
104,Sallama,32.8944,35.3693,52.16,70,23,2.75
105,Jasaan,8.65,124.7833,79.0,89,100,4.0
106,Westlake Village,34.1458,-118.8056,52.77,76,21,1.43
107,Luba,3.4568,8.5547,77.0,80,20,3.44
108,Kaltan,53.5347,87.2457,26.82,96,100,5.35
109,Manguito,22.5881,-80.9144,70.77,93,0,3.4
110,Santa Catarina da Serra,39.6796,-8.6868,52.02,82,40,10.36
111,Ayan,56.45,138.1667,-2.29,81,100,20.94
112,Hailin,44.5833,129.4167,2.98,86,11,9.95
113,Herborn,50.6833,8.3167,17.98,89,100,10.27
114,Almuñécar,36.7339,-3.6907,50.76,87,99,5.99
115,Fornosovo,59.5689,30.5544,8.96,85,75,6.71
116,Grafton,42.207,-71.6856,27.23,80,90,19.57
