,City,Lat,Lng,Temp_F,Humidity,Cloudiness,Windspeed
0,Escuinapa,22.85,-105.8,57.2,88,1,3.44
1,Złotów,53.3635,17.0408,24.01,97,4,4.56
2,Mamaroneck,40.9487,-73.7326,32.05,74,40,5.75
3,San Bernardino Tlaxcalancingo,19.0333,-98.2667,58.53,39,0,3.27
4,Hörsching,48.2263,14.1779,41.59,81,0,4.61
5,Kalanchak,46.2562,33.2907,35.26,80,79,14.47
6,Chardara,41.2547,67.9692,57.88,36,100,12.75
7,Micheldorf,46.9222,14.4405,33.3,93,75,1.14
8,Cocotitlán,19.2333,-98.8667,53.6,47,1,1.52
9,Campbellsville,37.3434,-85.3419,33.53,86,90,17.27
10,Rishra,22.7142,88.3478,82.4,30,57,4.61
11,Naduvattam,11.4833,76.5667,70.95,48,16,3.2
12,Jork,53.5333,9.6833,32.92,86,90,11.5
13,Codrington,-38.2667,141.9667,68.47,45,25,9.71
14,Bergen,60.392,5.328,17.29,62,0,5.75
15,North New Hyde Park,40.7432,-73.6932,34.66,75,90,4.61
16,Mustla,58.2343,25.8584,8.35,85,75,5.75
17,Ubatã,-14.2139,-39.5228,71.13,96,71,0.83
18,Lugovoy,42.9472,72.7644,43.47,61,100,1.77
19,Mpika,-11.8343,31.4529,72.81,80,19,8.79
20,Burgos,42.3394,-3.7079,42.89,100,40,3.44
21,Lopez Jaena,10.8492,123.4278,81.79,79,68,8.19
22,Salgueiro,-8.0742,-39.1192,70.88,83,9,9.31
23,Guastalla,44.9132,10.6609,46.42,100,90,1.14
24,Sinamar,16.9,121.5667,76.05,84,61,4.85
25,Shrīgonda,18.6167,74.6833,85.01,20,0,5.93
26,Alexandria,31.2156,29.9553,66.2,63,40,13.8
27,Koumac,-20.5667,164.2833,79.09,80,15,5.12
28,Şimand,46.4333,21.45,44.87,81,0,9.22
29,Methala,10.2166,76.2166,91.4,40,0,8.05
30,Farīdpur,23.6,89.8333,82.4,54,23,4.61
31,Douglas,41.3,-96.167,18.79,63,1,10.36
32,Balakhta,55.38,91.6,10.94,95,92,4.43
33,Chelmsford,51.7357,0.4696,43.0,98,61,3.98
34,Fălcoiu,44.2333,24.3667,49.64,58,0,1.14
35,Montfoort,52.0458,4.9528,42.24,96,98,1.01
36,Newmarket,44.0501,-79.4663,33.12,95,100,8.01
37,Nong Ki,14.6868,102.538,89.6,58,0,8.05
38,Santa Rosa,14.3122,121.1114,82.49,58,75,8.05
39,Ungureni,46.5167,26.95,37.15,81,75,3.44
40,Arlesheim,47.4941,7.6198,45.37,81,75,4.61
41,Uttamapālaiyam,9.8,77.3333,84.4,45,16,5.59
42,Hājīpur,25.6833,85.2167,75.2,35,0,11.5
43,Usol'ye,59.4268,56.6808,28.11,98,100,5.82
44,Pangkalanbuun,-2.6833,111.6167,83.98,74,30,6.42
45,San Marcos,33.1434,-117.1661,48.34,82,1,0.92
46,Pajo,11.2306,124.0138,82.13,80,32,12.46
47,Cienfuegos,22.1461,-80.4356,57.2,94,0,3.44
48,Fidenza,44.864,10.0667,45.7,100,90,1.14
49,Rizal,15.7118,121.1061,80.08,68,14,8.16
50,Vreden,52.0379,6.828,39.11,82,100,1.99
51,Khrebtovaya,56.7032,104.2494,5.79,95,100,6.51
52,Valinhos,-22.9706,-46.9958,73.4,88,75,3.44
53,Muchkapskiy,51.8513,42.4717,29.82,98,100,17.92
54,Gachetá,4.8185,-73.6366,51.8,100,75,2.3
55,Sortavala,61.7053,30.6918,7.97,90,100,11.77
56,Lubuagan,17.3548,121.1747,67.8,86,91,3.0
57,Bahçe,37.1972,36.5766,50.0,66,20,2.3
58,Opovo,45.0522,20.4303,50.09,87,0,4.61
59,Asaka,35.8047,139.6019,49.15,16,95,6.58
60,Dragalina,44.4333,27.3167,51.01,66,99,1.01
61,Sukaraja,-7.4519,108.1944,81.54,78,100,0.78
62,Ponca City,36.707,-97.0856,27.3,80,1,7.09
63,Tomohon,1.3346,124.8392,80.6,83,40,5.75
64,Achkhoy-Martan,43.19,45.28,49.55,76,40,2.24
65,Pesochenskiy,54.1733,36.1094,12.2,73,40,15.66
66,Kincardine,56.0667,-3.7167,38.3,93,90,13.8
67,Saint Aubin,-20.4917,57.5414,86.0,62,40,11.5
68,Asahi,35.7167,140.65,42.8,65,75,5.75
69,Nev'yansk,57.4953,60.2112,34.65,98,100,6.29
70,San Isidro,-12.1167,-77.05,68.58,88,0,6.91
71,Suihua,46.6406,126.9969,9.19,96,100,5.84
72,Strelka,58.0728,93.0344,10.98,94,100,6.53
73,Sunbury,-37.5833,144.7333,72.75,57,75,14.97
74,Paita,-5.0892,-81.1144,73.94,72,100,10.02
75,Malente,54.1712,10.5552,32.36,80,0,12.66
76,Kirkel,49.2833,7.2333,43.88,100,90,1.14
77,Kulunda,52.566,78.9385,27.36,98,99,6.42
78,Warud,21.4667,78.2667,85.93,16,0,8.5
79,Vendas Novas,38.6771,-8.4579,52.92,82,20,10.36
80,Abony,47.1899,20.0048,42.3,81,90,4.61
81,Agrafa,39.136,21.6494,46.99,80,100,3.38
82,Karatau,43.1667,70.4667,48.72,51,100,3.06
83,Venâncio Aires,-29.6064,-52.1919,60.67,97,0,1.01
84,Santa Barbara,34.7333,-120.0343,44.98,87,1,4.85
85,Samokov,42.3333,23.55,45.0,45,99,1.01
86,Udarnyy,54.3409,42.8611,21.83,97,100,13.94
87,Zemst,50.9835,4.4588,44.53,87,20,4.61
88,Lahijan,37.2061,50.0029,78.8,27,40,23.02
89,Fort Myers,26.6217,-81.8406,48.47,81,1,4.21
90,Alexandria,31.2156,29.9553,66.2,63,40,13.8
91,Opera,45.3731,9.2112,45.91,100,90,1.14
92,Gumaus,14.3103,122.7229,75.09,91,100,17.02
93,Caldono,2.7974,-76.4832,58.23,85,100,3.2
94,Axintele,44.6,26.7833,44.73,81,0,11.5
95,Beliu,46.4833,21.9833,44.85,81,20,5.75
96,Loštice,49.7447,16.9289,33.37,55,100,1.72
97,Escobal,9.1472,-79.9619,76.57,76,78,4.81
98,Bhīnmāl,25.0,72.25,79.72,17,0,9.8
99,Capão da Canoa,-29.7456,-50.0097,67.51,74,33,17.29
100,El Rosario,24.2556,-107.1828,57.6,84,53,1.01
101,Sursk,53.0754,45.6846,37.0,99,100,11.99
102,Sembabule,-0.0772,31.4567,86.47,37,13,5.73
103,Vetralla,42.3098,12.0784,51.91,93,75,8.05
104,Krasnokumskoye,44.1781,43.5019,53.29,62,20,11.18
105,Bydgoszcz,53.1235,18.0076,20.3,92,6,2.3
106,Mouzourás,35.5333,24.15,59.0,94,20,9.22
107,Washington,47.5001,-120.5015,38.05,74,12,1.01
108,Miragoâne,18.4423,-73.0876,75.54,75,2,2.93
109,Sotouboua,8.5667,0.9833,85.75,51,29,0.27
110,Methóni,36.8197,21.7049,58.14,82,0,7.56
111,Nörvenich,50.8,6.65,45.1,87,75,4.61
112,Rāvar,31.2656,56.8055,65.5,22,0,5.41
113,Veseloyarsk,51.2836,81.1056,28.83,98,99,11.18
114,Siliştea,44.3833,25.35,44.73,76,0,10.36
115,Michalovce,48.7543,21.9195,37.69,93,90,3.91
116,Iseyin,7.9667,3.6,88.03,54,21,1.63
117,Bålsta,59.5671,17.5278,15.62,92,0,4.61
118,Obersiggenthal,47.4875,8.2965,39.2,100,20,5.75
119,Snezhnogorsk,69.1933,33.2531,3.2,85,75,10.31
120,Rānikhet,29.65,79.4167,50.04,58,44,5.21
121,Bejuco,8.6,-79.8833,78.46,99,100,10.6
122,Kuzovatovo,53.5468,47.6866,36.39,98,100,14.99
123,Krabi,8.0726,98.9105,91.4,52,40,8.05
124,Chany,55.3121,76.7647,16.48,97,96,8.39
125,Mochalishche,56.3306,48.3547,33.8,100,90,6.71
126,Cayce,33.9657,-81.074,49.37,57,90,6.91
127,Kleinbettingen,49.6464,5.9164,44.92,95,100,1.01
128,Scharnstein,47.9044,13.9601,39.96,94,86,1.45
129,West Plains,36.7281,-91.8524,25.63,68,1,5.75
130,Santa Isabel,-23.3156,-46.2214,68.0,100,75,4.61
131,Spruce Grove,53.5334,-113.9187,-4.34,84,90,8.05
132,Leon Valley,29.4952,-98.6186,52.75,50,20,9.22
133,La Trinité,14.7376,-60.9629,72.79,78,20,11.5
134,Gemeente Duiven,51.9333,6.0167,40.26,93,75,4.61
135,Taksony,47.3297,19.0669,45.25,76,75,6.91
136,Belen,36.4891,36.2233,57.2,67,75,6.91
137,Vértesszőlős,47.6211,18.3813,44.42,93,0,4.61
138,Fraser,42.5392,-82.9494,29.35,100,90,26.46
139,Lādnūn,27.65,74.3833,71.96,25,0,5.12
140,Abrantes,39.4667,-8.2,47.46,95,100,1.99
141,Albignasego,45.3475,11.8672,48.45,84,100,1.01
142,Ikare,7.4913,5.2322,89.87,44,28,0.72
143,Suure-Jaani,58.5361,25.4706,10.0,91,75,3.0
144,Bulembu,-25.9667,31.1333,77.0,83,100,1.48
145,Feijó,-8.1642,-70.3536,71.6,93,100,0.43
146,Istok,42.7808,20.4875,40.98,93,75,1.43
147,Arsen'yev,44.1631,133.2733,19.65,96,100,0.49
148,Staffanstorp,55.6428,13.2064,19.11,86,90,10.36
149,Dois Riachos,-9.3925,-37.1006,73.15,77,11,4.76
150,Provincia di Verona,45.4167,11.0333,47.08,93,75,1.14
151,Mospyne,47.8908,38.064,31.77,90,99,20.4
152,Kunda,25.7167,81.5167,75.99,44,64,13.38
153,Trørød,55.8395,12.5443,22.6,83,50,3.0
154,Skalica,48.8449,17.2264,35.87,100,99,6.91
155,Pineville,31.3224,-92.4343,49.03,66,20,8.05
156,Sóskút,47.4067,18.8225,46.09,78,100,6.51
157,Comendador,18.8775,-71.7028,66.74,86,53,1.57
158,Plaridel,14.8872,120.8572,84.7,65,75,9.22
159,Patayac,15.963,120.4318,81.37,67,6,8.19
160,Mponela,-13.5319,33.7401,75.2,73,75,8.05
161,Salisbury,51.0693,-1.7957,39.2,100,75,6.91
162,Ostashkov,57.1467,33.1075,10.94,94,100,8.7
163,Jampur,29.6441,70.5954,77.2,18,0,2.75
164,Coaticook,45.1334,-71.7991,5.0,92,35,5.75
165,Nadvoitsy,63.8667,34.3167,6.3,92,100,15.59
166,Santa Ana,33.7456,-117.8678,51.01,82,1,0.78
167,Hălăuceşti,47.1,26.8,36.0,34,99,3.96
168,Løgten,56.2746,10.3118,24.06,80,96,9.22
169,West Monroe,32.5185,-92.1476,43.0,70,1,8.05
170,Sezze,41.5033,13.0641,54.66,93,0,4.61
171,Brighton,50.8284,-0.1395,43.45,99,11,7.0
172,Babino,56.2256,43.6238,19.2,86,90,17.9
173,Rush,53.5223,-6.0931,39.4,93,90,8.05
174,Okolona,38.1412,-85.6877,32.36,75,90,13.8
175,Manassas Park,38.784,-77.4697,40.01,69,100,5.01
176,Novoukrainskoye,45.3783,40.5297,46.71,75,99,20.31
177,Whitman,46.9166,-117.4844,38.01,88,100,15.01
178,Bergen,60.392,5.328,17.29,62,0,5.75
179,Aerzen,52.0495,9.2586,38.3,97,100,5.01
180,Buk,52.3553,16.5196,31.77,86,0,6.91
